action_type	serialized_occurrences	source_candidates	resolution
HutongGames.PlayMaker.Actions.AnimatorPauseAtTime	12	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AnimatorPauseAtTime.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AnimatorPlay	1741	"[""Assets/PlayMaker/Actions/Animator/AnimatorPlay.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AnimatorPlayStateWait	262	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/AnimatorPlayStateWait.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AnimatorStartPlayback	2	"[""Assets/PlayMaker/Actions/Animator/AnimatorStartPlayback.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AnimatorStopPlayback	163	"[""Assets/PlayMaker/Actions/Animator/AnimatorStopPlayback.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ApplyAtmosCue	3	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ApplyAtmosCue.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ApplyMusicCue	372	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/ApplyMusicCue.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ApplyMusicSnapshot	3	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ApplyMusicSnapshot.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ArrayAdd	21	"[""Assets/PlayMaker/Actions/Array/ArrayAdd.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ArrayClear	2	"[""Assets/PlayMaker/Actions/Array/ArrayClear.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ArrayContains	1	"[""Assets/PlayMaker/Actions/Array/ArrayContains.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ArrayGet	42	"[""Assets/PlayMaker/Actions/Array/ArrayGet.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ArrayGetNext	75	"[""Assets/PlayMaker/Actions/Array/ArrayGetNext.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ArrayGetRandom	20	"[""Assets/PlayMaker/Actions/Array/ArrayGetRandom.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ArrayLength	28	"[""Assets/PlayMaker/Actions/Array/ArrayLength.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ArrayListGetClosestGameObject	97	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/ArrayListGetClosestGameObject.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ArrayRemove	2	"[""Assets/PlayMaker/Actions/Array/ArrayRemove.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ArrayResize	2	"[""Assets/PlayMaker/Actions/Array/ArrayResize.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ArrayShuffle	31	"[""Assets/PlayMaker/Actions/Array/ArrayShuffle.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AudioPause	10	"[""Assets/PlayMaker/Actions/Audio/AudioPause.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AudioPlay	651	"[""Assets/PlayMaker/Actions/Audio/AudioPlay.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AudioPlayDelay	15	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AudioPlayDelay.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AudioPlayInState	2348	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/AudioPlayInState.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AudioPlayInStateConditional	116	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AudioPlayInStateConditional.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AudioPlayRandom	1146	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/AudioPlayRandom.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AudioPlayRandomSingle	149	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/AudioPlayRandomSingle.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AudioPlayRandomVoice	1323	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AudioPlayRandomVoice.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AudioPlayRandomVoiceFromTable	7414	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AudioPlayRandomVoiceFromTable.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AudioPlayRandomVoiceFromTableBool	44	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AudioPlayRandomVoiceFromTableBool.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AudioPlayRandomVoiceFromTableV2	4108	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AudioPlayRandomVoiceFromTableV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AudioPlaySimple	4967	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/AudioPlaySimple.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AudioPlaySimpleBool	2	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AudioPlaySimpleBool.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AudioPlaySimpleV2	989	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AudioPlaySimpleV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AudioPlaySynced	2	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AudioPlaySynced.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AudioPlayV2	243	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/AudioPlayV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AudioPlayerOneShot	718	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/AudioPlayerOneShot.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AudioPlayerOneShotSingle	2613	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/AudioPlayerOneShotSingle.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AudioPlayerOneShotSingleV2	5	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AudioPlayerOneShotSingleV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AudioSnapshotRestore	2	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AudioSnapshotRestore.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AudioStop	4541	"[""Assets/PlayMaker/Actions/Audio/AudioStop.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AudioStopV2	1882	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AudioStopV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AutoEquipCrest	2	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AutoEquipCrest.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AutoEquipCrestV2	8	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AutoEquipCrestV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AutoEquipCrestV3	19	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AutoEquipCrestV3.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AutoEquipCrestV4	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AutoEquipCrestV4.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AutoEquipTool	13	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AutoEquipTool.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AwardAchievementProgress	13	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AwardAchievementProgress.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AwardQueuedAchievements	23	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AwardQueuedAchievements.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.BecomeBlackThreaded	33	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/BecomeBlackThreaded.cs""]"	exact_declared_type
